{time: 1729092172040, bid: 5820.817, ask: 5821.343, mid: 5821.080000}
{time: 1729092177010, bid: 5821.367, ask: 5821.824, mid: 5821.595500}
{time: 1729092178515, bid: 5821.367, ask: 5821.773, mid: 5821.570000}
{time: 1729092179217, bid: 5821.057, ask: 5821.523, mid: 5821.290000}
{time: 1729092182799, bid: 5821.054, ask: 5821.574, mid: 5821.314000}
{time: 1729092183451, bid: 5821.072, ask: 5821.571, mid: 5821.321500}
{time: 1729092186863, bid: 5820.829, ask: 5821.346, mid: 5821.087500}
{time: 1729092188568, bid: 5821.551, ask: 5822.077, mid: 5821.814000}
{time: 1729092191996, bid: 5821.554, ask: 5822.086, mid: 5821.820000}
{time: 1729092193355, bid: 5821.867, ask: 5822.324, mid: 5822.095500}
{time: 1729092196720, bid: 5822.056, ask: 5822.579, mid: 5822.317500}
{time: 1729092199280, bid: 5821.797, ask: 5822.314, mid: 5822.055500}
{time: 1729092202610, bid: 5822.357, ask: 5822.814, mid: 5822.585500}
{time: 1729092205569, bid: 5822.303, ask: 5822.82, mid: 5822.561500}
{time: 1729092211235, bid: 5822.284, ask: 5822.801, mid: 5822.542500}
{time: 1729092213422, bid: 5822.537, ask: 5823.051, mid: 5822.794000}
{time: 1729092217634, bid: 5822.296, ask: 5822.801, mid: 5822.548500}
{time: 1729092220741, bid: 5822.29, ask: 5822.804, mid: 5822.547000}
{time: 1729092223372, bid: 5822.299, ask: 5822.798, mid: 5822.548500}
{time: 1729092225932, bid: 5822.299, ask: 5822.798, mid: 5822.548500}
{time: 1729092230444, bid: 5822.546, ask: 5823.063, mid: 5822.804500}
{time: 1729092232499, bid: 5822.287, ask: 5822.798, mid: 5822.542500}
{time: 1729092234954, bid: 5822.404, ask: 5822.933, mid: 5822.668500}
{time: 1729092235262, bid: 5822.281, ask: 5822.813, mid: 5822.547000}
{time: 1729092237878, bid: 5822.302, ask: 5822.813, mid: 5822.557500}
{time: 1729092240891, bid: 5822.284, ask: 5822.813, mid: 5822.548500}
{time: 1729092242945, bid: 5822.837, ask: 5823.303, mid: 5823.070000}
{time: 1729092248496, bid: 5823.087, ask: 5823.544, mid: 5823.315500}
{time: 1729092250702, bid: 5823.032, ask: 5823.549, mid: 5823.290500}
{time: 1729092252007, bid: 5822.524, ask: 5823.056, mid: 5822.790000}
{time: 1729092255229, bid: 5822.527, ask: 5823.044, mid: 5822.785500}
{time: 1729092261329, bid: 5823.017, ask: 5823.543, mid: 5823.280000}
{time: 1729092263938, bid: 5823.27, ask: 5823.781, mid: 5823.525500}
{time: 1729092267745, bid: 5823.017, ask: 5823.549, mid: 5823.283000}
{time: 1729092269561, bid: 5823.251, ask: 5823.786, mid: 5823.518500}
{time: 1729092272322, bid: 5823.251, ask: 5823.723, mid: 5823.487000}
{time: 1729092277180, bid: 5823.001, ask: 5823.521, mid: 5823.261000}
{time: 1729092278533, bid: 5823.019, ask: 5823.539, mid: 5823.279000}
{time: 1729092280544, bid: 5822.761, ask: 5823.281, mid: 5823.021000}
{time: 1729092283152, bid: 5822.577, ask: 5823.028, mid: 5822.802500}
{time: 1729092286760, bid: 5822.264, ask: 5822.784, mid: 5822.524000}
{time: 1729092290019, bid: 5822.532, ask: 5823.049, mid: 5822.790500}
{time: 1729092292765, bid: 5823.013, ask: 5823.524, mid: 5823.268500}
{time: 1729092293723, bid: 5823.007, ask: 5823.527, mid: 5823.267000}
{time: 1729092300344, bid: 5823.016, ask: 5823.524, mid: 5823.270000}
{time: 1729092304268, bid: 5823.241, ask: 5823.761, mid: 5823.501000}
{time: 1729092309680, bid: 5822.817, ask: 5823.28, mid: 5823.048500}
{time: 1729092312240, bid: 5822.994, ask: 5823.463, mid: 5823.228500}
{time: 1729092315775, bid: 5822.756, ask: 5823.27, mid: 5823.013000}
{time: 1729092317839, bid: 5822.513, ask: 5823.033, mid: 5822.773000}
{time: 1729092319191, bid: 5822.807, ask: 5823.267, mid: 5823.037000}
{time: 1729092321798, bid: 5822.762, ask: 5823.258, mid: 5823.010000}
{time: 1729092322450, bid: 5822.501, ask: 5823.036, mid: 5822.768500}
{time: 1729092332381, bid: 5822.317, ask: 5822.723, mid: 5822.520000}
{time: 1729092336642, bid: 5822.01, ask: 5822.536, mid: 5822.273000}
{time: 1729092339363, bid: 5821.772, ask: 5822.268, mid: 5822.020000}
{time: 1729092341720, bid: 5822.01, ask: 5822.473, mid: 5822.241500}
{time: 1729092344627, bid: 5822.01, ask: 5822.521, mid: 5822.265500}
{time: 1729092346685, bid: 5821.751, ask: 5822.223, mid: 5821.987000}
{time: 1729092348240, bid: 5822.01, ask: 5822.473, mid: 5822.241500}
{time: 1729092353826, bid: 5821.902, ask: 5822.407, mid: 5822.154500}
{time: 1729092356982, bid: 5822.067, ask: 5822.473, mid: 5822.270000}
{time: 1729092358487, bid: 5822.016, ask: 5822.527, mid: 5822.271500}
{time: 1729092360894, bid: 5822.263, ask: 5822.768, mid: 5822.515500}
